,Test,Results
L1 deepSleepMgr,PLAT_INIT_pos                                                       ,PASS
,PLAT_INIT_neg                                                       ,FAIL
,PLAT_TERM_pos                                                       ,PASS
,PLAT_TERM_neg                                                       ,FAIL
,PLAT_DeepSleepWakeup_pos                                            ,FAIL
,PLAT_DeepSleepWakeup_neg                                            ,FAIL
,PLAT_SetDeepSleep_pos                                              ,FAIL
,PLAT_SetDeepSleep_neg                                               ,FAIL
,PLAT_GetLastWakeupReason_pos                                        ,PASS
,PLAT_GetLastWakeupReason_neg                                     ,FAIL
,PLAT_GetLastWakeupKeyCode_pos                                      ,PASS
,PLAT_GetLastWakeupKeyCode_neg,FAIL
L2 deepSleepMgr,SetDsAndVerifyWakeup1sec                                            ,FAIL
,SetDsAndVerifyWakeUp10sec,FAIL
,,
L1 plat_power,PLAT_INIT_pos                                                     ,PASS
,PLAT_INIT_neg                                                     ,PASS
,PLAT_TERM_pos                                                       ,PASS
,PLAT_TERM_neg                                                       ,PASS
,PLAT_SetPowerState_pos                                             ,FAIL
,PLAT_SetPowerState_neg                                              ,PASS
,PLAT_GetPowerState_pos                                              ,PASS
,PLAT_GetPowerState_neg                                             ,PASS
,PLAT_SetWakeupSrc_pos                                              ,PASS
,PLAT_SetWakeupSrc_neg                                              ,PASS
,PLAT_GetWakeupSrc_pos                                              ,FAIL
,PLAT_GetWakeupSrc_neg,PASS
L2 plat_power,L2_SetAndGetPowerState                                             ,FAIL
,L2_SetAndGetWakeupSrc,FAIL
,,
L1 HDMICEC Source ,getLogicalAddress_Positive                                         ,FAIL
,getLogicalAddress_negative                                          ,FAIL
,Tx_Positive                                                         ,FAIL
,Tx_negative                                                      ,FAIL
,open_Positive                                                      ,FAIL
,open_negative                                                      ,FAIL
,close_Positive                                                     ,FAIL
,close_negative                                                      ,FAIL
,getPhysicalAddress_Positive                                         ,FAIL
,getPhysicalAddress_negative                                         ,FAIL
,setRxCallback_Positive                                             ,FAIL
,setRxCallback_negative                                             ,FAIL
,addLogicalAddress_Positive                                         ,FAIL
,addLogicalAddress_negative                                         ,FAIL
,removeLogicalAddress_Positive                                      ,FAIL
,removeLogicalAddress_negative,FAIL
L2 HDMICEC Source ,L2_LogicalAddressUnavailability,FAIL
,,
L1 dsDisplay,dsDisplayInit_pos                                                   ,PASS
,dsDisplayInit_neg                                                   ,PASS
,dsDisplayTerm_pos                                                  ,PASS
,dsDisplayTerm_neg                                                   ,PASS
,dsGetDisplay_pos                                                   ,PASS
,dsGetDisplay_neg                                                   ,PASS
,dsGetEDID_pos                                                      ,FAIL
,dsGetEDID_neg                                                      ,PASS
,dsGetEDIDBytes_pos                                                 ,FAIL
,dsGetEDIDBytes_neg                                                 ,PASS
,dsGetDisplayAspectRatio_pos                                        ,PASS
,dsGetDisplayAspectRatio_neg                                         ,PASS
,dsRegisterDisplayEventCB_pos                                       ,PASS
,dsRegisterDisplayEventCB_neg                                    ,PASS
,dsGetAVIContentType_pos                                          ,FAIL
,dsGetAVIContentType_neg                                          ,FAIL
,dsSetAVIContentType_pos                                            ,FAIL
,dsSetAVIContentType_neg                                        ,FAIL
,dsGetAVIScanInfo_pos                                            ,FAIL
,dsGetAVIScanInfo_neg                                               ,FAIL
,dsSetAVIScanInfo_pos                                               ,PASS
,dsSetAVIScanInfo_neg                                             ,FAIL
,dsGetAllmEnabled_pos                                             ,FAIL
,dsGetAllmEnabled_neg                                               ,FAIL
,dsSetAllmEnabled_pos                                               ,PASS
,dsSetAllmEnabled_neg,FAIL
L2 dsDisplay,TestDefaultAspectRatio_src                                        ,PASS
,SetAndGetAVIContentType_src,FAIL
,,
L1 dsVideoPort,dsVideoPortInit_pos       ,PASS
,dsVideoPortInit_neg       ,PASS
,dsVideoPortTerm_pos       ,PASS
,dsVideoPortTerm_neg       ,PASS
,dsGetVideoPort_pos        ,PASS
,dsGetVideoPort_neg        ,PASS
,dsIsVideoPortEnabled_pos  ,PASS
,dsIsVideoPortEnabled_neg  ,PASS
,dsIsDisplayConnected_pos  ,PASS
,dsIsDisplayConnected_neg  ,PASS
,dsIsDisplaySurround_pos   ,FAIL
,dsIsDisplaySurround_neg   ,PASS
,dsGetSurroundMode_pos     ,FAIL
,dsGetSurroundMode_neg     ,PASS
,VideoFormatUpdateRegCB_pos,FAIL
,VideoFormatUpdateRegCB_neg,PASS
,dsIsVideoPortActive_pos   ,PASS
,dsIsVideoPortActive_neg   ,PASS
,dsEnableHDCP_pos          ,FAIL
,dsEnableHDCP_neg          ,PASS
,dsIsHDCPEnabled_pos       ,FAIL
,dsIsHDCPEnabled_neg       ,PASS
,dsEnableVideoPort_pos     ,PASS
,dsEnableVideoPort_neg     ,PASS
,dsSetResolution_pos       ,PASS
,dsSetResolution_neg       ,PASS
,dsGetResolution_pos       ,FAIL
,dsGetResolution_neg       ,PASS
,dsRegisterHdcpStatusCB_pos,PASS
,dsRegisterHdcpStatusCB_neg,PASS
,dsGetHDCPStatus_pos       ,FAIL
,dsGetHDCPStatus_neg       ,PASS
,dsGetHDCPProtocol_pos     ,FAIL
,dsGetHDCPProtocol_neg     ,PASS
,GetHDCPReceiverProtocol_pos ,FAIL
,GetHDCPReceiverProtocol_neg ,PASS
,GetHDCPCurrentProtocol_pos  ,FAIL
,GetHDCPCurrentProtocol_neg  ,PASS
,dsGetTVHDRCapabilities_pos  ,FAIL
,dsGetTVHDRCapabilities_neg  ,PASS
,dsSupportedTvResolutions_pos,FAIL
,dsSupportedTvResolutions_neg,PASS
,SetForceDisable4KSupport_pos,PASS
,SetForceDisable4KSupport_neg,PASS
,GetForceDisable4KSupport_pos,PASS
,GetForceDisable4KSupport_neg,PASS
,dsGetVideoEOTF_pos          ,PASS
,dsGetVideoEOTF_neg          ,PASS
,dsGetMatrixCoefficients_pos ,FAIL
,dsGetMatrixCoefficients_neg ,PASS
,dsGetColorDepth_pos         ,FAIL
,dsGetColorDepth_neg         ,PASS
,dsGetColorSpace_pos         ,FAIL
,dsGetColorSpace_neg         ,PASS
,dsGetQuantizationRange_pos  ,FAIL
,dsGetQuantizationRange_neg  ,PASS
,dsGetCurrentOutputSettings_pos,FAIL
,dsGetCurrentOutputSettings_neg,PASS
,dsIsOutputHDR_pos           ,FAIL
,dsIsOutputHDR_neg           ,PASS
,dsResetOutputToSDR_pos      ,FAIL
,dsResetOutputToSDR_neg      ,PASS
,dsSetHdmiPreference_pos     ,PASS
,dsSetHdmiPreference_neg     ,PASS
,dsGetHdmiPreference_pos     ,FAIL
,dsGetHdmiPreference_neg     ,PASS
,dsGetIgnoreEDIDStatus_pos   ,FAIL
,dsGetIgnoreEDIDStatus_neg   ,PASS
,dsSetBackgroundColor_pos    ,FAIL
,dsSetBackgroundColor_neg    ,PASS
,dsSetForceHDRMode_pos       ,FAIL
,dsSetForceHDRMode_neg       ,PASS
,dsColorDepthCapb_pos        ,FAIL
,dsColorDepthCapb_neg        ,PASS
,dsGetPreferredColorDepth_pos,FAIL
,dsGetPreferredColorDepth_neg,PASS
,dsSetPreferredColorDepth_pos,FAIL
,dsSetPreferredColorDepth_neg,PASS
L2 dsVideoPort - Source,EnableDisabledVideoPorts    ,PASS
,VerifyDisplayAndPortStatus  ,FAIL
,RetrieveVerifySurroundModeCapb  ,FAIL
,VerifySupportedTvRes            ,FAIL
